"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"58871","1.0","1111","[""PSCI""]","20","""0/999""","","","[""Daniel Hofrenning""]","""4/999""","200","","18","""New Hampshire Primary""","204","false","","2","""8/999""","""8/999""","""C""","20072","","","""Research""","2007"
"58872","1.0","1142","[""PSCI""]","10","""2/999""","","","[""Jonathan Peterson""]","""5/999""","200","[""BMC 101""]","30","""Top: Political Psychology""","299","false","","2","""1/999""","""2/999""","""O""","20072","[""M-F 1040-1240PM""]","""Topics in Political Science""","""Topic""","2007"
"58873","1.0","16366","[""PSYCH""]","27","""2/999""","","","[""Dana Gross""]","""11/999""","200","[""HH 317""]","30","""Human Dev/China and Japan""","226","false","","2","""6/999""","""8/999""","""C""","20072","[""M-F 1040-1240PM""]","""Human Development in East Asia: Perspectives from China and Japan""","""Research""","2007"
"58874","1.0","1197","[""REL""]","88","""0/0""","","","[""David Booth""]","""43/999""","200","[""CHM 233""]","49","""Intro Feminist Theol""","209","false","","2","""14/999""","""30/999""","""C""","20072","[""M-F 1040-1240PM""]","""Introduction to Feminist Theology""","""Research""","2007"
"58876","1.0","1223","[""REL""]","26","""0/999""","","","[""William Poehlmann""]","""16/999""","200","","20","""Religion/Culture/Rome""","259","false","","2","""6/999""","""4/999""","""C""","20072","","""Religion and Culture in Rome""","""Research""","2007"
"58885","1.0","825","[""MUSIC""]","36","""13/999""","","","[""Alice Hanson""]","""6/999""","200","[""CHM 239"", ""CHM 239""]","35","""America's Hit Parade""","232","false","","2","""7/999""","""10/999""","""C""","20072","[""M-Th 0900-1000"", ""M-Th 1040-1200PM""]","","""Research""","2007"
"58886","1.0","824","[""MUSIC""]","31","""9/999""","","","[""Gerald Hoekstra""]","""12/999""","200","[""CHM 239""]","35","""History of Jazz""","231","false","","2","""3/999""","""7/999""","""C""","20072","[""M-F 0100-0300PM""]","","""Research""","2007"
"58889","1.0","17674","[""BIO""]","17","""1/999""","","","[""Diane K. Angell""]","""3/999""","200","[""SC 210"", ""SC 210""]","28","""Environmental Health""","228","false","","2","""7/999""","""6/999""","""O""","20072","[""M-F 1040-1200"", ""M-F 0100-0300PM""]","","""Research""","2007"
"58890","1.0","133","[""BIO""]","8","""0/999""","","","[""David Van Wylen""]","""3/999""","200","","18","""Cardiac Physiology""","250","false","","2","""5/999""","""0/999""","""C""","20072","","","""Research""","2007"
"58891","1.0","147","[""BIO""]","16","""0/999""","","","[""John D. Schade"", ""Steven Freedberg""]","""7/999""","200","","18","""Desert Biology""","282","false","","2","""7/999""","""2/999""","""C""","20072","","","""Research""","2007"
"58892","1.0","146","[""BIO""]","11","""0/999""","","","[""Charles Jr. Umbanhowar""]","""2/999""","200","","18","""Winter Ecology""","281","false","","2","""1/999""","""8/999""","""C""","20072","","","""Research""","2007"
"58894","1.0","304","[""CSCI""]","8","""0/999""","","","[""Olaf A. Hall-Holt""]","""4/999""","300","[""OMH 300"", ""OMH 300""]","18","""Advanced Team Project""","350","false","","2","""3/999""","""1/999""","""O""","20072","[""M-F 0830-1000"", ""M-F 0100-0300PM""]","","""Research""","2007"
"59138","1.0","132","[""BIO""]","6","""1/4""","","","[""Eric Cole""]","""2/999""","200","[""SC 229"", ""SC 229"", ""SC 229""]","18","""Probing Life W/Light""","249","false","","2","""2/999""","""1/999""","""O""","20072","[""M-F 0800-1000"", ""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","""Probing Life With Light""","""Research""","2007"
"59140","1.0","924","[""NORW""]","17","""3/999""","","","[""Anne G. Sabo""]","""5/999""","100","[""HH 501""]","50","""Nordic Film Today""","130","false","","2","""6/999""","""3/999""","""O""","20072","[""M-F 0100-0400PM""]","""Nordic Film Today: Love, Sex, and Family""","""Research""","2007"
"59141","1.0","1219","[""REL""]","24","""0/999""","","","[""Eric Lund""]","""6/999""","200","","26","""Rel of South Africa""","251","false","","2","""12/999""","""6/999""","""C""","20072","","""Religion and Cultural Diversity in South Africa""","""Research""","2007"
"59142","1.0","16965","[""REL""]","27","""0/0""","","","[""Peder J. Jothen""]","""9/999""","200","[""BMC 111""]","30","""Christian Aesthetic,Ethic""","292","false","","2","""15/999""","""3/999""","""C""","20072","[""M-F 0100-0300PM""]","","""Research""","2007"
"59285","1.0","65","[""ART""]","11","""1/999""","","","[""Christine O'Malley""]","""6/999""","200","[""DC 305""]","33","""Gothic Art""","271","false","","2","""1/999""","""3/999""","""O""","20072","[""M-F 1040-1240PM""]","","""Research""","2007"
"59329","1.0","227","[""CLASS""]","34","""26/999""","","","[""Mark T. Gustafson""]","""2/999""","100","[""OM 035""]","35","""Fall of Roman Empire""","128","false","","2","""5/999""","""1/999""","""C""","20072","[""M-F 1040-1240PM""]","""The Fall of the Roman Empire and the Rise of Christianity""","""Research""","2007"
"59571","1.0","559","[""HIST""]","19","""19/999""","","","[""Robert Entenmann""]","""0/0""","100","[""HH 302""]","19","""Vietnam""","135","false","","2","""0/0""","""0/0""","""C""","20072","[""M-F 0100-0300PM""]","""Nationalism and Revolution in Vietnam""","""Research""","2007"
"59598","1.0","771","[""MGMT""]","28","""1/0""","","","[""Edward David Emery""]","""4/999""","200","[""HH 301"", ""HH 301"", ""HH 301""]","30","""Personal Finance""","231","false","","2","""19/999""","""3/999""","""C""","20072","[""MWF 0900-1000"", ""MWF 1040-1140"", ""MWF 0115-0230PM""]","","""Research""","2007"
"60461","1.0","18803","[""CHEM"", ""BIO""]","26","""25/999""","","18803","[""Jeffrey J. Schwinefus""]","""0/999""","100","[""SC 374"", ""SC 374""]","28","""Integrated Chem/Bio II""","126","false","","2","""0/999""","""1/999""","""C""","20072","[""M-F 0800-1000"", ""M-F 1040-1240PM""]","""Integrated Chem/Bio II: Thermodynamics, Kinetics, & Bio Relevance""","""Research""","2007"
"60462","0.0","18804","[""CHEM"", ""BIO""]","26","""25/999""","","18803","[""Jeffrey J. Schwinefus""]","""0/999""","100","[""TBA""]","28","""Integrate Chem/Bio II Lab""","126","false","","2","""0/999""","""1/999""","""C""","20072","[""M-Th 1230-0300PM""]","","""Lab""","2007"
"60463","1.0","18479","[""ECON""]","19","""10/999""","","","[""Suzanne L. Wisniewski""]","""3/999""","100","[""HH 403"", ""HH 403""]","35","""Globalization & Poverty""","115","false","","2","""2/999""","""4/999""","""O""","20072","[""MWF 0830-1000"", ""MWF 1040-1210PM""]","""Gateways to Economics: Globalization and Poverty""","""Research""","2007"
"60464","1.0","18758","[""EDUC""]","24","""0/0""","","","[""Daniel R. Forstner""]","""7/999""","300","","24","""NYC Education Practicum""","377","true","","2","""11/999""","""6/999""","""C""","20072","","""New York City Education Seminar and Practicum""","""Research""","2007"
"60465","1.0","1199","[""REL""]","35","""1/0""","","","[""Mary E. Anderson""]","""17/999""","200","[""BMC 101""]","35","""Lutheran Heritage""","213","false","","2","""3/999""","""14/999""","""C""","20072","[""M-F 0100-0300PM""]","","""Research""","2007"
"60791","0.0","107","[""BIO""]","18","""7/999""","","106","[""Paul A. Rupp""]","""3/2""","100","[""SC 211"", ""SC 211""]","24","""Cell Bio & Genetics Lab""","125","false","""B""","2","""1/1""","""7/999""","""O""","20072","[""M-F 0800-1000"", ""M-F 1040-1200PM""]","","""Lab""","2007"
"60792","1.0","506","[""GERM""]","54","""10/999""","","","[""Lavern Rippley""]","""14/999""","100","[""DC 305""]","48","""Folk/Fairy/Fables-Tr""","147","false","","2","""5/999""","""25/999""","""C""","20072","[""M-F 0100-0300PM""]","""Fairy Tales, Folktales and Fables""","""Research""","2007"
