"clbid","credits","crsid","departments","enrolled","firsties","gereqs","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"2682","1.0","510","[""GERM""]","10","""0/999""","","[""Frederike Von Schwerin-High""]","""0/999""","200","","999","""Old and New Capitals""","233","false","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
"2683","1.0","511","[""GERM""]","19","""0/999""","","[""Karen R. Achberger""]","""0/999""","200","","999","""Arts in Vienna""","245","false","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
"2684","0.0","511","[""GERM""]","5","""0/999""","","[""Karen R. Achberger""]","""0/999""","200","","999","""FLC-German""","245","false","""L""","2","""0/999""","""2/999""","""C""","20012","","""Research""","2001"
"2685","1.0","512","[""GERM""]","33","""10/10""","","[""Karl Fink""]","""12/999""","200","[""M 4""]","25","""Age of Goethe-Tr""","246","false","","2","""0/999""","""4/999""","""C""","20012","[""M-F 0800-1000""]","""Research""","2001"
"2686","1.0","522","[""GERM""]","2","""0/999""","","[""Karl Fink""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""1/999""","""O""","20012","","""Research""","2001"
"2687","1.0","523","[""GERM""]","1","""0/999""","","[""Lavern Rippley""]","""0/999""","200","","999","""IS/Tirol Past & Pres""","298","false","","2","""0/999""","""1/999""","""O""","20012","","""Research""","2001"
"2688","1.0","529","[""GERM""]","1","""0/999""","","[""Lavern Rippley""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""0/999""","""O""","20012","","""Research""","2001"
"2689","1.0","530","[""GERM""]","1","""0/999""","","[""Lavern Rippley""]","""0/999""","300","","999","""IR/German Novelle""","398","false","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2690","1.0","532","[""GCON""]","25","""0/999""","","[""Anne Groton""]","""0/999""","100","[""H 515""]","999","""Romans & Christians""","115","false","""A""","2","""0/999""","""0/999""","""C""","20012","[""M-F 1040-1240PM""]","""Research""","2001"
"2691","1.0","532","[""GCON""]","25","""0/999""","","[""Jonathan Hill""]","""0/999""","100","[""L 420""]","999","""Romans & Christians""","115","false","""B""","2","""0/999""","""0/999""","""C""","20012","[""M-F 1040-1240PM""]","""Research""","2001"
"2692","1.0","532","[""GCON""]","24","""0/999""","","[""Edward Langerak""]","""0/999""","100","[""H 516""]","999","""Romans & Christians""","115","false","""C""","2","""0/999""","""0/999""","""C""","20012","[""M-F 1040-1240PM""]","""Research""","2001"
"2693","1.0","1770","[""HIST""]","29","""25/999""","","[""Richard A. Olson""]","""0/999""","100","[""M 31""]","25","""Myth/Hist Ancnt World""","102","false","","2","""0/999""","""0/999""","""C""","20012","[""M-F 0100-0300PM""]","""Research""","2001"
"2694","1.0","1787","[""HIST""]","27","""25/999""","","[""Jamie Monson""]","""0/999""","100","[""M 30"", ""M 30""]","25","""Life Hist/African Wmn""","128","false","","2","""0/999""","""0/999""","""C""","20012","[""M-F 0900-1000"", ""M-F 1040-1140""]","""Research""","2001"
"2695","1.0","1790","[""HIST""]","22","""25/999""","","[""Steven C. Hahn""]","""0/999""","100","[""L 577""]","25","""Race,Culture Early Am""","131","false","","2","""0/999""","""0/999""","""C""","20012","[""M-F 1040-1240PM""]","""Research""","2001"
"2696","1.0","1809","[""HIST""]","55","""28/30""","","[""Odd S. Lovoll""]","""0/999""","100","[""H 501""]","45","""Norwegian/Amer Exper""","155","false","","2","""9/999""","""5/999""","""C""","20012","[""M-Th 1040-1240PM""]","""Research""","2001"
"2697","1.0","1836","[""HIST""]","23","""0/999""","","[""Robert Nichols""]","""4/999""","200","[""M 31"", ""M 31""]","40","""Russian History/Lit""","250","false","","2","""4/999""","""29/999""","""C""","20012","[""M-F 0900-1000"", ""M-F 1040-1140""]","""Topic""","2001"
"2698","1.0","1844","[""HIST""]","29","""2/999""","","[""Stephen Blake""]","""11/999""","200","[""H 307""]","35","""British India""","255","false","","2","""7/999""","""16/999""","""C""","20012","[""M-F 0100-0300PM""]","""Research""","2001"
"2699","1.0","607","[""HIST""]","23","""0/999""","","[""Jeane DeLaney""]","""1/999""","200","","999","""Revolutionary Cuba""","257","false","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
