"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"90803","0.25","293","[""CSCI""]","9","""7/999""","","292","","","[""Olaf A. Hall-Holt""]","""0/999""","200","[""RNS 202""]","20","""Software Design/Lab""","252","false","""B""","3","""0/999""","""2/999""","""O""","20133","[""Th 1245-0245PM""]","""Software Design and Implementation Lab""","""Lab""","2013"
"90807","1.0","1340","[""SPAN""]","16","""1/999""","","","","","[""Maggie Broner""]","""6/999""","200","[""TOH 114""]","17","""Spanish 1st/2nd Lang""","276","false","","3","""1/999""","""8/999""","""C""","20133","[""MWF 1150-1245PM""]","""Spanish as a First and Second Language""","""Research""","2013"
"90809","1.0","21524","[""CHIN""]","10","""0/999""","","","","","[""Hui Bi""]","""2/999""","300","[""TOH 300""]","12","""Special Topics in Chinese""","320","false","","3","""8/999""","""0/999""","""O""","20133","[""MWF 1150-1245PM""]","","""Research""","2013"
"90810","1.0","655","[""FAMST""]","8","""0/0""","","","","","[""Jennifer Manner""]","""0/0""","300","[""HH 514"", ""HH 514""]","18","""Sr Sem: Families in Trans""","391","false","","3","""8/18""","""0/0""","""O""","20133","[""T 0935-1100"", ""Th 0930-1050""]","""Senior Seminar: Special Topics""","""Research""","2013"
"90811","1.0","71","[""ART""]","36","""0/0""","","","","","[""Peter B. Nelson"", ""Mary Griep"", ""John Saurer""]","""0/0""","300","[""TBA"", ""DC 305""]","50","""Sr Studies/Studio Art""","343","false","","3","""36/999""","""0/0""","""O""","20133","[""MW 0100-0300PM"", ""M 0700-0900PM""]","""Senior Studies in Studio Art""","""Research""","2013"
"90812","0.0","312","[""EDUC""]","4","""0/0""","","","","""2""","[""Heather Campbell""]","""2/999""","200","[""TOH 275""]","18","""Standards/Technology""","291","true","""A""","3","""0/999""","""2/999""","""O""","20133","[""M 0630-0830PM""]","""Standards and Technology""","""Research""","2013"
"90813","0.0","312","[""EDUC""]","3","""0/0""","","","","""2""","[""Heather Campbell""]","""2/999""","200","[""TOH 275""]","18","""Standards/Technology""","291","true","""B""","3","""0/999""","""1/999""","""C""","20133","[""M 0400-0600PM""]","""Standards and Technology""","""Research""","2013"
"90814","1.0","1405","[""STAT""]","18","""0/999""","[""WRI""]","","","","[""Laura F. Boehm""]","""4/999""","200","[""TOH 182"", ""TOH 182""]","24","""Statistical Modeling""","272","false","""B""","3","""9/999""","""5/999""","""O""","20133","[""T 1145-0110PM"", ""Th 1245-0205PM""]","","""Research""","2013"
"90815","1.0","1405","[""STAT""]","23","""1/999""","[""WRI""]","","","","[""Kathryn Ziegler""]","""4/999""","200","[""TOH 182"", ""TOH 182""]","24","""Statistical Modeling""","272","false","""A""","3","""6/999""","""12/999""","""C""","20133","[""T 0935-1100"", ""Th 0930-1050""]","","""Research""","2013"
"90817","1.0","1404","[""STAT""]","30","""1/999""","","","","","[""Anthony Becker""]","""13/999""","200","[""HH 413""]","30","""Statistics for Economics""","263","false","""A""","3","""1/999""","""15/999""","""C""","20133","[""MWF 1150-1245PM""]","","""Research""","2013"
"90818","1.0","1404","[""STAT""]","20","""1/999""","","","","","[""Xun Pomponio""]","""8/999""","200","[""HH 413"", ""HH 413""]","30","""Statistics for Economics""","263","false","""B""","3","""1/999""","""10/999""","""O""","20133","[""T 0935-1100"", ""Th 0930-1050""]","","""Research""","2013"
"90819","1.0","1403","[""STAT""]","26","""6/999""","[""AQR""]","","","","[""Laura F. Boehm""]","""3/999""","200","[""TOH 182""]","24","""Statistics for Science""","212","false","""A""","3","""8/5""","""9/999""","""C""","20133","[""MWF 0800-0855""]","""Statistics for the Sciences""","""Research""","2013"
"90821","1.0","1403","[""STAT""]","24","""0/999""","[""AQR""]","","","","[""Laura F. Boehm""]","""6/999""","200","[""TOH 182""]","24","""Statistics for Science""","212","false","""B""","3","""4/5""","""14/999""","""C""","20133","[""MWF 0905-1000""]","""Statistics for the Sciences""","""Research""","2013"
"90825","0.5","24291","[""EDUC""]","0","""0/0""","","","","","[""Rosemary A. Pfarr-Baker""]","""0/0""","300","","999","""Student Teach: English""","391","false","""D""","3","""0/999""","""0/0""","""O""","20133","","""Student Teaching: Additional License""","""Research""","2013"
"90826","0.5","24291","[""EDUC""]","0","""0/0""","","","","","[""Rosemary A. Pfarr-Baker""]","""0/0""","300","","18","""Student Teach: ESL""","391","false","""A""","3","""0/999""","""0/0""","""O""","20133","","""Student Teaching: Additional License""","""Research""","2013"
"90827","0.5","24291","[""EDUC""]","0","""0/0""","","","","","[""Rosemary A. Pfarr-Baker""]","""0/0""","300","","999","""Student Teach: Music""","391","false","""C""","3","""0/999""","""0/0""","""O""","20133","","""Student Teaching: Additional License""","""Research""","2013"
"90828","0.5","24291","[""EDUC""]","0","""0/0""","","","","","[""Rosemary A. Pfarr-Baker""]","""0/0""","300","","18","""Student Teach: Social St""","391","false","""B""","3","""0/999""","""0/0""","""O""","20133","","""Student Teaching: Additional License""","""Research""","2013"
"90829","3.0","343","[""EDUC""]","8","""0/0""","","","","","[""Rosemary A. Pfarr-Baker""]","""0/0""","300","","30","""Student Teaching""","389","false","","3","""8/999""","""0/0""","""O""","20133","[""M-F 0730-0400PM""]","","""Research""","2013"
"90831","0.25","1010","[""ESAC""]","25","""0/999""","[""SPM""]","","","","[""Kurt Anderson""]","""6/999""","100","[""SAC_POOL""]","24","""Swim Fitness""","130","false","","3","""18/999""","""1/999""","""C""","20133","[""MW 0800-0855""]","","""Research""","2013"
"90832","0.25","200","[""CHEM""]","18","""0/999""","","197","","","[""Dipannita Kalyani""]","""2/999""","200","[""RNS 340""]","22","""Synthesis Lab II""","254","true","""A""","3","""0/999""","""16/999""","""C""","20133","[""M 0200-0500PM""]","""Synthesis Laboratory II""","""Lab""","2013"
