"clbid","credits","crsid","departments","enrolled","firsties","gereqs","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"8453","1.0","1289","[""SOAN""]","27","""4/999""","","","[""Samiha Peterson""]","""0/0""","100","[""HH 403"", ""HH 403""]","25","""Intro to Sociology""","121","false","""B""","1","""0/0""","""0/4""","""C""","20041","[""T 0935-1100"", ""Th 0930-1050""]","""Research""","2004"
"8454","1.0","1289","[""SOAN""]","33","""31/999""","","","[""Raymond DeVries""]","""0/999""","100","[""OM 031"", ""OM 031""]","25","""Intro to Sociology""","121","false","""C""","1","""0/999""","""0/999""","""C""","20041","[""T 0800-0925"", ""Th 0800-0920""]","""Research""","2004"
"8455","1.0","1294","[""SOAN""]","29","""16/999""","","","[""Christopher L. Chiappari""]","""0/0""","100","[""SC 188"", ""SC 188""]","25","""Int/Cult Anthropology""","128","false","""A""","1","""0/0""","""0/8""","""C""","20041","[""T 0800-0925"", ""Th 0800-0920""]","""Research""","2004"
"8456","1.0","1294","[""SOAN""]","30","""10/999""","","","[""Christopher L. Chiappari""]","""0/0""","100","[""SC 188"", ""SC 188""]","25","""Int/Cult Anthropology""","128","false","""B""","1","""0/0""","""0/8""","""C""","20041","[""T 0935-1100"", ""Th 0930-1050""]","""Research""","2004"
"8457","1.0","1300","[""SOAN""]","20","""0/999""","","","[""Grant P. Arndt""]","""0/999""","200","[""SH 01""]","25","""Contemp Native Am""","235","false","""A""","1","""0/999""","""0/999""","""C""","20041","[""MWF 1255-0150PM""]","""Research""","2004"
"8458","1.0","1300","[""SOAN""]","14","""1/999""","","","[""Grant P. Arndt""]","""0/999""","200","[""SH 01""]","25","""Contemp Native Am""","235","false","""B""","1","""0/999""","""0/999""","""O""","20041","[""MWF 0200-0255PM""]","""Research""","2004"
"8459","1.0","1302","[""SOAN""]","29","""3/999""","","","[""Christopher L. Chiappari""]","""0/999""","200","[""HH 307"", ""HH 307""]","29","""Latin Am Culture""","237","false","","1","""0/999""","""0/999""","""C""","20041","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Research""","2004"
"8460","0.25","16218","[""SOAN""]","14","""1/999""","","","[""Leon Narvaez""]","""0/999""","200","","10","""FLC - Spanish""","237","false","""L""","1","""0/999""","""0/999""","""C""","20041","","""FLAC""","2004"
"8461","1.0","1304","[""SOAN""]","27","""0/999""","","","[""Thomas A. Williamson""]","""0/999""","200","[""SH 02""]","25","""Global Interdepend""","241","false","","1","""0/999""","""0/999""","""C""","20041","[""MWF 1255-0150PM""]","""Research""","2004"
"8462","1.0","1306","[""SOAN""]","30","""1/999""","","","[""Grant P. Arndt""]","""0/999""","200","[""RML 577""]","30","""Race/Class-Am Culture""","244","false","","1","""0/999""","""0/999""","""C""","20041","[""MWF 1150-1245PM""]","""Research""","2004"
"8463","1.0","1308","[""SOAN""]","26","""0/999""","","","[""Michael Leming""]","""0/999""","200","[""HH 301"", ""HH 301""]","25","""Dying,Death,Bereave""","248","false","","1","""0/999""","""0/999""","""C""","20041","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Research""","2004"
"8464","1.0","1310","[""SOAN""]","25","""1/999""","","","[""Michael Leming""]","""0/999""","200","[""SH 01""]","25","""Marriage & the Family""","260","false","""A""","1","""0/999""","""0/999""","""C""","20041","[""MWF 0905-1000""]","""Research""","2004"
"8465","1.0","1310","[""SOAN""]","28","""0/999""","","","[""Michael Leming""]","""0/999""","200","[""TB 216""]","25","""Marriage & the Family""","260","false","""B""","1","""0/999""","""0/999""","""C""","20041","[""MWF 1045-1140""]","""Research""","2004"
