"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"21982","1.0","1665","[""ENGL""]","27","""1/0""","[""Karen Cherewatuk""]","""0/0""","100","[""L 515"", ""L 515""]","25","""Arthurian Romance""","118","false","","2","""-1/0""","""25/25""","""C""","19972","[""M-F 0900-1000"", ""M-F 1040-1140""]","""Research""","1997"
"21983","1.0","386","[""ENGL""]","23","""1/0""","[""Colin Wells""]","""0/0""","100","[""L 420""]","25","""The Comic Novel""","131","false","","2","""-1/0""","""25/25""","""C""","19972","[""M-F 1040-1240PM""]","""Research""","1997"
"21984","1.0","387","[""ENGL""]","25","""1/0""","[""Mary Steen""]","""0/0""","100","[""L 421""]","25","""Reading for Life""","132","false","","2","""-1/0""","""25/25""","""C""","19972","[""M-F 1040-1240PM""]","""Research""","1997"
"21985","1.0","1672","[""ENGL""]","26","""1/0""","[""Jan C. Hill""]","""0/0""","100","[""L 515""]","20","""Children/Adoles't Lit""","133","false","","2","""-1/0""","""20/20""","""C""","19972","[""M-Th 0100-0300PM""]","""Research""","1997"
"21987","1.0","1678","[""ENGL""]","15","""0/0""","[""David Brunet""]","""0/0""","100","[""L 421""]","25","""Drama: Melodrama""","182","false","","2","""0/0""","""7/25""","""O""","19972","[""M-F 0100-0300PM""]","""Research""","1997"
"21988","1.0","405","[""ENGL""]","23","""5/5""","[""Mary Titus""]","""16/20""","200","[""L 525""]","30","""Southern Women Writrs""","230","false","","2","""5/5""","""4/999""","""C""","19972","[""M-Th 0100-0300PM""]","""Research""","1997"
"21989","1.0","412","[""ENGL""]","23","""5/5""","[""David Wee""]","""15/20""","200","[""L 525"", ""L 525""]","30","""Baseball/Amer Values""","248","false","","2","""5/5""","""5/999""","""C""","19972","[""M-F 0830-1000"", ""M-F 1045-1200PM""]","""Research""","1997"
"21990","1.0","414","[""ENGL""]","23","""22/999""","[""Jon Eric Nelson""]","""0/999""","200","","999","""IRish Short Stories""","252","false","","2","""1/999""","""0/999""","""C""","19972","","""Research""","1997"
"21991","1.0","1702","[""ENGL""]","17","""1/6""","[""Stephen O. Swanson""]","""7/12""","200","[""L 420""]","18","""Writing in Many Genre""","264","false","","2","""5/11""","""3/999""","""C""","19972","[""M-Th 0800-1000""]","""Research""","1997"
"21992","1.0","421","[""ENGL""]","15","""14/999""","[""Jonathan Hill""]","""0/999""","200","","999","""Lit Eastern Caribbean""","270","false","","2","""1/999""","""0/999""","""C""","19972","","""Research""","1997"
"21993","1.0","425","[""ENGL""]","17","""12/999""","[""Mark Allister""]","""1/999""","200","[""L 520""]","999","""Lit of the Environmnt""","276","false","","2","""0/999""","""0/999""","""C""","19972","[""M-F 0100-0300PM""]","""Research""","1997"
"21994","1.0","433","[""ENGL""]","1","""0/999""","[""Lowell E. Johnson""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21995","1.0","434","[""ENGL""]","1","""1/999""","[""Olivia Frey""]","""0/999""","200","","999","""IS/Writing and Nature""","298","false","","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21996","1.0","451","[""ENGL""]","1","""0/999""","[""Stephen O. Swanson""]","""0/999""","300","","999","""IR/Children's Writing""","398","false","","2","""1/999""","""0/999""","""O""","19972","","""Research""","1997"
"21997","1.0","451","[""ENGL""]","1","""0/999""","[""Olivia Frey""]","""0/999""","300","","999","""IR/Creative Writing""","398","false","""A""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21998","1.0","452","[""ENGL""]","12","""9/15""","[""Olivia Frey""]","""1/999""","300","[""L 520"", ""L 520""]","15","""Sem: Autobio Lit Crit""","399","false","","2","""3/999""","""0/999""","""C""","19972","[""M-Th 0800-1000"", ""M-Th 1040-1200PM""]","""Seminar""","1997"
"22001","1.0","479","[""FREN""]","14","""0/999""","[""Mary Cisar""]","""2/999""","200","[""M 20"", ""M 20""]","30","""Intermed French I""","231","false","","2","""0/999""","""14/999""","""O""","19972","[""M-F 0800-0900"", ""M-F 0100-0200PM""]","""Research""","1997"
"22002","1.0","481","[""FREN""]","14","""13/999""","[""Herve Pensec""]","""1/999""","200","","20","""Lang/Cul Fr Caribbean""","233","false","","2","""0/999""","""1/999""","""C""","19972","","""Research""","1997"
"22003","1.0","482","[""FREN""]","15","""0/999""","[""Wendy Allen""]","""8/999""","200","[""M 26""]","30","""Speaking of French""","250","false","","2","""0/999""","""8/999""","""O""","19972","[""M-F 1040-0300PM""]","""Research""","1997"
"22004","1.0","489","[""FREN""]","11","""7/999""","[""M. Clare Mather""]","""0/999""","200","","20","""ID French Stud Paris""","275","false","","2","""0/999""","""0/999""","""C""","19972","","""Research""","1997"
"22005","1.0","491","[""FREN""]","1","""1/999""","[""Wendy Allen""]","""0/999""","200","","999","""IS/Sovereignty-Quebec""","298","false","","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"22006","1.0","1749","[""GERM""]","8","""1/5""","[""Lavern Rippley""]","""2/33""","100","[""M 31""]","35","""Bastion Berlin""","145","false","","2","""1/4""","""2/999""","""O""","19972","[""M-F 0900-1100""]","""Research""","1997"
"22008","1.0","514","[""GERM""]","7","""1/999""","[""Karen R. Achberger""]","""3/999""","200","[""M 35""]","25","""Speaking German""","250","false","","2","""0/999""","""2/999""","""O""","19972","[""M-F 1040-0300PM""]","""Research""","1997"
"22009","1.0","532","[""GCON""]","21","""0/999""","[""Rick A. Fairbanks""]","""1/999""","100","[""H 514"", ""H 501 PLENARY""]","22","""Romans & Christians""","115","false","""A""","2","""0/999""","""23/999""","""O""","19972","[""M-F 1040-1240PM"", ""M-F 1040-1240PM""]","""Research""","1997"
"22010","1.0","532","[""GCON""]","22","""0/999""","[""Edmund Santurri""]","""0/999""","100","[""H 515"", ""H 501 PLENARY""]","22","""Romans & Christians""","115","false","""B""","2","""0/999""","""22/999""","""C""","19972","[""M-F 1040-1240PM"", ""M-F 1040-1240PM""]","""Research""","1997"
"22011","1.0","532","[""GCON""]","22","""0/999""","[""Gary Stansell""]","""1/999""","100","[""H 516"", ""H 501 PLENARY""]","22","""Romans & Christians""","115","false","""C""","2","""0/999""","""21/999""","""C""","19972","[""M-F 1040-1240PM"", ""M-F 1040-1240PM""]","""Research""","1997"
"22012","1.0","1770","[""HIST""]","37","""0/0""","[""Richard A. Olson""]","""0/0""","100","[""H 501""]","25","""Myth/Hist Ancnt World""","102","false","","2","""0/0""","""27/25""","""C""","19972","[""M-F 0100-0300PM""]","""Research""","1997"
"22013","1.0","1808","[""HIST""]","9","""1/7""","[""Dolores Peters""]","""3/27""","100","[""H 317""]","35","""Lit/Resist/Occ/France""","153","false","","2","""2/13""","""6/999""","""O""","19972","[""M-F 0100-0300PM""]","""Research""","1997"
"22014","1.0","1809","[""HIST""]","38","""7/7""","[""Odd S. Lovoll""]","""17/16""","100","[""M 1""]","30","""Norwegian/Amer Exper""","155","false","","2","""7/7""","""1/999""","""C""","19972","[""M-Th 1040-1240PM""]","""Research""","1997"
"22015","1.0","599","[""HIST""]","10","""7/999""","[""Robert Nichols""]","""9/999""","200","[""H 514""]","40","""Fall Soviet Communism""","227","false","","2","""4/999""","""1/999""","""O""","19972","[""M-Th 0830-1000""]","""Research""","1997"
"22016","1.0","1834","[""HIST""]","21","""2/999""","[""Christopher D. Grasso""]","""6/999""","200","[""M 15""]","20","""Top: Rel & Amer Hist""","248","false","","2","""6/999""","""1/999""","""C""","19972","[""M-F 0100-0300PM""]","""Topic""","1997"
"22017","1.0","1838","[""HIST""]","38","""6/10""","[""Judy Kutulas""]","""9/18""","200","[""SC 378""]","40","""Amer & World War II""","251","false","","2","""6/14""","""19/999""","""O""","19972","[""M-F 1040-1200PM""]","""Research""","1997"
"22018","1.0","1844","[""HIST""]","31","""2/10""","[""Stephen Blake""]","""17/39""","200","[""H 307""]","35","""British India""","255","false","","2","""9/18""","""3/999""","""O""","19972","[""M-F 0100-0300PM""]","""Research""","1997"
"22019","1.0","624","[""HIST""]","1","""2/999""","[""Christopher D. Grasso""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"22020","1.0","624","[""HIST""]","1","""0/999""","[""Dolores Peters""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"22021","1.0","625","[""HIST""]","1","""0/999""","[""Robert Entenmann""]","""0/999""","200","","999","""IS/China Yuan to Qing""","298","false","","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"22022","1.0","1878","[""FAMST""]","18","""9/999""","[""Linda Marie Ernst""]","""4/999""","200","[""H 302""]","30","""Adol Dev & Family Rel""","248","false","","2","""5/999""","""2/999""","""O""","19972","[""MWF 1040-1240PM"", ""MWF 0100-0300PM""]","""Research""","1997"
"22023","1.0","652","[""FAMST""]","24","""24/999""","[""C. George Holt""]","""0/999""","200","","24","""Aboriginal Cult/Austr""","263","false","","2","""0/999""","""0/999""","""C""","19972","","""Research""","1997"
"22024","1.0","653","[""FAMST""]","1","""1/999""","[""C. George Holt""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"22025","1.0","656","[""FAMST""]","1","""0/999""","[""C. George Holt""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"22026","1.0","1918","[""ID""]","8","""4/999""","[""John Walters""]","""3/999""","200","[""L 250""]","16","""Computers in Health""","251","true","","2","""0/999""","""1/999""","""O""","19972","[""M-F 1040-1240PM""]","""Research""","1997"
"22027","0.0","1919","[""ID""]","8","""4/999""","[""John Walters""]","""3/999""","200","[""L 250""]","16","""Cmptrs in Health/Lab""","251","false","","2","""0/999""","""1/999""","""O""","19972","[""M-F 0100-0300PM""]","""Lab""","1997"
"22028","1.0","704","[""ID""]","8","""8/999""","[""Wesley Pearson""]","""0/999""","200","","999","""Hospital Health Care""","255","true","","2","""0/999""","""0/999""","""C""","19972","","""Research""","1997"
"22029","1.0","705","[""ID""]","28","""28/999""","[""Patrick Quade""]","""0/999""","200","","28","""Theater in London""","258","false","","2","""0/999""","""0/999""","""C""","19972","","""Research""","1997"
"22030","1.0","1922","[""ID""]","2","""2/999""","[""Larry Zimmerman""]","""0/999""","200","","999","""Fles/ACM""","259","false","","2","""0/999""","""0/999""","""C""","19972","","""Research""","1997"
"22031","1.0","1923","[""ID""]","6","""7/999""","[""Larry Zimmerman""]","""0/999""","200","","999","""Dimens Multicult/ACM""","260","false","","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"22032","1.0","707","[""ID""]","1","""0/999""","[""Daniel Hofrenning""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"22033","1.0","707","[""ID""]","1","""0/999""","[""Martha Wallace""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
