"clbid","credits","crsid","departments","enrolled","firsties","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"5714","1.0","144","[""BIO""]","5","""0/999""","","[""Staff""]","""0/999""","200","","999","""IS in India""","271","false","","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5715","1.0","145","[""BIO""]","5","""0/999""","","[""Staff""]","""0/999""","200","","999","""IS in India""","272","false","","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5716","1.0","154","[""BIO""]","4","""0/999""","","[""Louis Henry Kermott""]","""0/999""","200","","999","""IS/Human Gross Anat""","298","false","","1","""2/999""","""0/999""","""O""","20031","","""Research""","2003"
"5717","1.0","154","[""BIO""]","1","""0/999""","","[""Eric Cole""]","""0/999""","200","","999","""IS/Develop Genetics""","298","false","""A""","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5718","1.0","154","[""BIO""]","4","""0/999""","","[""William Jurney""]","""0/999""","200","","999","""IS/Human Gross Anat""","298","false","""B""","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5719","1.0","158","[""BIO""]","7","""0/999""","","[""Anne Walter""]","""2/999""","300","[""SC 274"", ""SC 263""]","15","""Cell Physiology""","341","false","""B""","1","""6/999""","""0/999""","""O""","20031","[""MWF 0905-1000"", ""W 0120-0420PM""]","""Research""","2003"
"5720","1.0","161","[""BIO""]","13","""0/999""","","[""Kathleen L. Shea""]","""0/999""","300","[""SC 110"", ""SC 248"", ""SC 210""]","12","""Field Ecology""","371","false","","1","""12/999""","""0/999""","""C""","20031","[""T 0120-0220PM"", ""T 0230-0530PM"", ""Th 0215-0405PM""]","""Research""","2003"
"5721","1.0","166","[""BIO""]","16","""0/999""","","[""Theodore Johnson""]","""0/999""","300","[""SC 274"", ""SC 210""]","9","""Immunology""","382","false","""A""","1","""9/999""","""0/999""","""C""","20031","[""MWF 1045-1140"", ""T 0100-0300PM""]","""Research""","2003"
"5722","1.0","166","[""BIO""]","15","""0/999""","","[""Theodore Johnson""]","""0/999""","300","[""SC 274"", ""SC 210""]","9","""Immunology""","382","false","""B""","1","""9/999""","""0/999""","""C""","20031","[""MWF 1045-1140"", ""W 0200-0400PM""]","""Research""","2003"
"5723","1.0","175","[""BIO""]","1","""0/999""","","[""Louis Henry Kermott""]","""0/999""","300","","999","""IR/Wren Habitat Range""","398","false","","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5724","1.0","175","[""BIO""]","1","""0/999""","","[""Kimberly A. Kandl""]","""0/999""","300","","999","""IR/Ef1a in Yeast""","398","false","""A""","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5725","1.0","175","[""BIO""]","1","""0/999""","","[""Kathleen L. Shea""]","""0/999""","300","","999","""IR/Conifer Growth""","398","false","""B""","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5726","1.0","175","[""BIO""]","1","""0/999""","","[""Eugene Bakko"", ""Kathleen L. Shea""]","""0/999""","300","","999","""IR/Sustainable Ag""","398","false","""C""","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5727","1.0","175","[""BIO""]","1","""0/999""","","[""Mary C. Henry""]","""0/999""","300","","999","""IR/Animal Studies""","398","false","""D""","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5728","1.0","175","[""BIO""]","1","""0/999""","","[""Kathleen L. Shea""]","""0/999""","300","","999","""IR/Dendrochronology""","398","false","""E""","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5729","1.0","176","[""AMCON""]","20","""0/999""","","[""Matthew Rohn""]","""0/999""","100","[""STEENSLAND""]","24","""Freedoms: 1620-1865""","101","false","""A""","1","""0/999""","""0/999""","""C""","20031","[""MWF 1255-0150PM""]","""Research""","2003"
"5730","1.0","176","[""AMCON""]","21","""0/999""","","[""Steven C. Hahn""]","""0/999""","100","[""STEENSLAND""]","24","""Freedoms: 1620-1865""","101","false","""B""","1","""0/999""","""0/999""","""C""","20031","[""MWF 1255-0150PM""]","""Research""","2003"
"5731","1.0","178","[""AMCON""]","19","""0/999""","","[""James Farrell""]","""0/999""","200","[""HH 317""]","24","""Remaking Am: 1845-1945""","201","false","""A""","1","""0/999""","""-2/999""","""C""","20031","[""MWF 0200-0255PM""]","""Research""","2003"
"5732","1.0","178","[""AMCON""]","18","""0/999""","","[""L. DeAne Lagerquist""]","""0/999""","200","[""HH 302""]","24","""Remaking Am: 1845-1945""","201","false","""B""","1","""0/999""","""-2/999""","""C""","20031","[""MWF 0200-0255PM""]","""Research""","2003"
"5733","1.0","187","[""CHEM""]","71","""46/999""","","[""Paul T. Jackson""]","""1/999""","100","[""SC 282""]","72","""General Chemistry""","121","false","","1","""2/999""","""16/999""","""O""","20031","[""MWF 1045-1140""]","""Research""","2003"
"5734","0.0","188","[""CHEM""]","18","""8/999""","","[""Paul T. Jackson""]","""0/999""","100","[""SC 371""]","20","""Gen Chemistry/Lab""","121","false","""A""","1","""0/999""","""6/999""","""O""","20031","[""M 0200-0500PM""]","""Lab""","2003"
"5735","0.0","188","[""CHEM""]","29","""22/999""","","[""Paul T. Jackson""]","""0/999""","100","[""SC 371""]","20","""Gen Chemistry/Lab""","121","false","""C""","1","""1/999""","""5/999""","""C""","20031","[""T 0800-1100""]","""Lab""","2003"
"5736","0.0","188","[""CHEM""]","24","""16/999""","","[""Paul T. Jackson""]","""1/999""","100","[""SC 371""]","20","""Gen Chemistry/Lab""","121","false","""D""","1","""1/999""","""5/999""","""C""","20031","[""T 1145-0245PM""]","""Lab""","2003"
"5737","1.0","192","[""CHEM""]","43","""34/999""","","[""Wesley Pearson""]","""1/999""","100","[""SC 378""]","50","""Struct Chem & Equilib""","125","false","""A""","1","""1/999""","""8/999""","""O""","20031","[""MWF 0800-0855""]","""Research""","2003"
"5738","0.0","193","[""CHEM""]","17","""10/999""","","[""Gary Miessler""]","""1/999""","100","[""SC 374/363""]","24","""Struct Chem/Lab""","125","false","""A""","1","""0/999""","""10/999""","""O""","20031","[""M 0200-0500PM""]","""Lab""","2003"
"5739","1.0","192","[""CHEM""]","51","""35/999""","","[""Patrick N. Riley""]","""3/999""","100","[""SC 378""]","55","""Struct Chem & Equilib""","125","false","""B""","1","""0/999""","""18/999""","""O""","20031","[""MWF 0905-1000""]","""Research""","2003"
"5740","0.0","193","[""CHEM""]","23","""11/999""","","[""Beth Abdella""]","""3/999""","100","[""SC 374/363""]","24","""Struct Chem/Lab""","125","false","""B""","1","""0/999""","""11/999""","""O""","20031","[""T 0800-1100""]","""Lab""","2003"
"5741","1.0","192","[""CHEM""]","48","""32/999""","","[""Beth Abdella""]","""3/999""","100","[""SC 378""]","55","""Struct Chem & Equilib""","125","false","""C""","1","""0/999""","""19/999""","""O""","20031","[""MWF 1045-1140""]","""Research""","2003"
"5742","0.0","193","[""CHEM""]","27","""13/999""","","[""Beth Abdella""]","""3/999""","100","[""SC 374/363""]","24","""Struct Chem/Lab""","125","false","""C""","1","""0/999""","""12/999""","""C""","20031","[""T 1145-0245PM""]","""Lab""","2003"
"5743","1.0","192","[""CHEM""]","46","""19/999""","","[""Gary Miessler""]","""4/999""","100","[""SC 378""]","55","""Struct Chem & Equilib""","125","false","""D""","1","""1/999""","""22/999""","""O""","20031","[""MWF 1150-1245PM""]","""Research""","2003"
