"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","type","year"
"17735","1.0","1856","[""HIST""]","15","""2/999""","[""Frieda Knobloch""]","""4/999""","200","40","""Amer Technologies""","285","false","","2","""7/999""","""0/999""","""O""","19952","""Research""","1995"
"17736","1.0","1878","[""FAMST""]","23","""7/999""","[""Linda Marie Ernst""]","""7/999""","200","25","""Adol Dev & Family Rel""","248","false","","2","""10/999""","""0/999""","""O""","19952","""Research""","1995"
"17737","1.0","652","[""FAMST""]","21","""1/999""","[""C. George Holt""]","""15/999""","200","30","""Aboriginal Cult/Austr""","263","false","","2","""3/999""","""0/999""","""C""","19952","""Research""","1995"
"17738","1.0","656","[""FAMST""]","1","""0/999""","[""Rebecca A. Benedict""]","""0/999""","300","999","""Internship""","394","true","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17739","1.0","1907","[""ID""]","6","""4/999""","[""John Giannini""]","""1/999""","200","10","""Protein Science""","222","false","","2","""5/999""","""0/999""","""O""","19952","""Research""","1995"
"17740","1.0","702","[""ID""]","60","""4/999""","[""Bruce Marshall"", ""Robert Nichols""]","""32/999""","200","50","""East Orthodox Christ""","250","false","","2","""14/999""","""0/999""","""C""","19952","""Research""","1995"
"17741","1.0","704","[""ID""]","7","""0/999""","[""Wesley Pearson""]","""3/999""","200","999","""Hospital Health Care""","255","true","","2","""4/999""","""0/999""","""C""","19952","""Research""","1995"
"17742","1.0","705","[""ID""]","23","""1/999""","[""Ronald J. Lee""]","""11/999""","200","25","""Theater in London""","258","false","","2","""10/999""","""0/999""","""C""","19952","""Research""","1995"
"17743","1.0","1923","[""ID""]","6","""0/999""","[""Debra E. Anderson""]","""2/999""","200","999","""Dimens Multicult/ACM""","260","false","","2","""4/999""","""0/999""","""C""","19952","""Research""","1995"
"17744","1.0","708","[""ID""]","1","""0/999""","[""Edward David Emery""]","""0/999""","200","999","""IS/Work in America""","298","false","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17745","1.0","709","[""ID""]","1","""0/999""","[""Theodore Johnson""]","""0/999""","300","999","""Internship""","394","true","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17747","1.0","735","[""MATH""]","23","""1/999""","[""Richard Allen""]","""19/999""","200","30","""Principles of Math""","210","false","","2","""6/999""","""0/999""","""O""","19952","""Research""","1995"
"17748","1.0","741","[""MATH""]","11","""2/999""","[""Martha Wallace""]","""6/999""","200","30","""Discrete Mathematics""","232","false","","2","""2/999""","""0/999""","""O""","19952","""Research""","1995"
"17749","1.0","1948","[""MATH""]","13","""1/999""","[""Laura Chihara""]","""3/999""","200","16","""Masterpieces of Math""","260","false","","2","""10/999""","""0/999""","""O""","19952","""Research""","1995"
"17750","1.0","758","[""MATH""]","23","""6/999""","[""Judith Cederberg""]","""0/999""","300","20","""Geometry""","356","false","","2","""14/999""","""0/999""","""C""","19952","""Research""","1995"
"17751","1.0","765","[""MATH""]","11","""2/999""","[""Matthew Richey"", ""Richard Single""]","""1/999""","300","15","""Mathematics Practicum""","390","false","","2","""6/999""","""0/999""","""O""","19952","""Research""","1995"
"17753","1.0","805","[""MUSIC""]","21","""11/999""","[""David Carter""]","""4/999""","100","25","""Orchestral Music""","132","false","","2","""6/999""","""0/999""","""O""","19952","""Research""","1995"
"17754","1.0","828","[""MUSIC""]","16","""1/999""","[""David Carter""]","""10/999""","200","30","""Music/Christ Worship""","235","false","","2","""9/999""","""0/999""","""O""","19952","""Research""","1995"
"17755","1.0","840","[""MUSIC""]","15","""3/999""","[""James McKeel""]","""4/999""","200","30","""Opera Workshop""","269","false","","2","""7/999""","""0/999""","""O""","19952","""Research""","1995"
"17757","1.0","866","[""MUSIC""]","1","""0/999""","[""Timothy Mahr""]","""0/999""","300","999","""IR/Choral Prel Study""","398","false","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17758","1.0","937","[""NORW""]","1","""0/999""","[""Margaret H. O'Leary""]","""0/999""","300","999","""IR/Hardingfele Resear""","398","false","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17759","1.0","937","[""NORW""]","1","""0/999""","[""Solveig Zempel""]","""0/999""","300","999","""IR/Innvandring""","398","false","""A""","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17761","1.0","961","[""NURS""]","2","""0/999""","[""Mary Johnson""]","""0/999""","300","999","""Internship""","394","true","""A""","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17763","1.0","966","[""PHIL""]","33","""30/999""","[""Vicki L. Harper""]","""0/999""","100","30","""Philosophy and Lit""","120","false","","2","""0/999""","""0/999""","""C""","19952","""Research""","1995"
"17764","1.0","2156","[""PHIL""]","21","""15/999""","[""William Narum""]","""5/999""","100","25","""Phil of C.S. Lewis""","127","false","","2","""5/999""","""0/999""","""O""","19952","""Research""","1995"
"17765","1.0","2160","[""PHIL""]","26","""21/999""","[""Kenneth S. Casey""]","""3/999""","100","25","""Philosophy of Poetry""","134","false","","2","""4/999""","""0/999""","""C""","19952","""Research""","1995"
"17766","1.0","2162","[""PHIL""]","29","""23/999""","[""John Poling""]","""1/999""","100","30","""Art Georgia O'keeffe""","155","false","","2","""6/999""","""0/999""","""O""","19952","""Research""","1995"
"17767","1.0","976","[""PHIL""]","13","""1/999""","[""Karen Gervais""]","""16/999""","200","30","""Philosophy & Feminism""","245","false","","2","""6/999""","""1/999""","""O""","19952","""Research""","1995"
"17768","1.0","977","[""PHIL""]","19","""3/999""","[""Edward Langerak""]","""11/999""","200","25","""Biomedical Ethics""","250","false","","2","""11/999""","""0/999""","""O""","19952","""Research""","1995"
"17769","1.0","984","[""PHIL""]","26","""4/999""","[""Gordon D. Marino""]","""18/999""","200","30","""Freud/Human Behavior""","261","false","","2","""8/999""","""0/999""","""O""","19952","""Research""","1995"
"17770","1.0","986","[""PHIL""]","1","""0/999""","[""John Poling""]","""0/999""","200","999","""IS/Artistic Vision""","298","false","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17771","1.0","993","[""PHIL""]","1","""0/999""","[""Charles Taliaferro""]","""0/999""","300","999","""IR/Lit in Philosophy""","398","false","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17772","1.0","1057","[""PETH""]","3","""1/999""","[""Daniel Hagen""]","""0/999""","200","999","""Internship""","294","true","","2","""1/999""","""1/999""","""O""","19952","""Research""","1995"
"17773","1.0","1058","[""PETH""]","1","""0/999""","[""Staff""]","""0/999""","200","1","""IS/Bb Attendnce Model""","298","false","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17774","1.0","2219","[""PETH""]","7","""1/999""","[""Daniel Hagen""]","""2/999""","300","12","""Adv Sport Medicine""","355","false","","2","""2/999""","""0/999""","""O""","19952","""Research""","1995"
"17775","1.0","2230","[""PHYS""]","12","""11/999""","[""James Cederberg""]","""6/999""","100","20","""Physics Audio Systems""","122","false","","2","""1/999""","""0/999""","""O""","19952","""Research""","1995"
"17776","1.0","1086","[""PHYS""]","31","""3/999""","[""Roger Proksch""]","""14/999""","200","32","""Musical Acoustics""","252","false","","2","""16/999""","""0/999""","""O""","19952","""Research""","1995"
"17778","1.0","1100","[""PHYS""]","1","""0/999""","[""Amy Kolan""]","""1/999""","300","999","""Internship""","394","true","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17779","1.0","1101","[""PHYS""]","1","""0/999""","[""Roger Proksch""]","""0/999""","300","999","""IR/Micromagnetics""","398","false","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17780","1.0","1109","[""PSCI""]","28","""25/999""","[""Kristina Thalhammer""]","""0/999""","100","25","""Politics Human Rights""","117","false","","2","""0/999""","""0/999""","""C""","19952","""Research""","1995"
"17781","1.0","1114","[""PSCI""]","28","""6/999""","[""Charles E. Umbanhowar Sr""]","""10/999""","200","30","""Politics""","222","false","","2","""11/999""","""1/999""","""O""","19952","""Research""","1995"
"17782","1.0","2254","[""PSCI""]","20","""3/999""","[""Jo M. Beld""]","""14/999""","200","30","""Public Policy/Family""","237","false","","2","""4/999""","""0/999""","""O""","19952","""Research""","1995"
"17783","1.0","1139","[""PSCI""]","6","""1/999""","[""Charles E. Umbanhowar Sr""]","""0/999""","200","999","""Internship""","294","true","","2","""2/999""","""1/999""","""O""","19952","""Research""","1995"
"17784","1.0","1139","[""PSCI""]","1","""0/999""","[""Daniel Hofrenning""]","""0/999""","200","999","""Internship""","294","true","""A""","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17785","1.0","1141","[""PSCI""]","1","""0/999""","[""Daniel Hofrenning""]","""0/999""","200","999","""IS/Evangel Chr & Pol""","298","false","","2","""1/999""","""0/999""","""O""","19952","""Research""","1995"
"17786","1.0","1141","[""PSCI""]","1","""0/999""","[""Charles E. Umbanhowar Sr""]","""0/999""","200","999","""IS/Ciceronianrhetoric""","298","false","""A""","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17787","1.0","1141","[""PSCI""]","1","""0/999""","[""Staff""]","""0/999""","200","1","""IS/Us-Israeli Relatio""","298","false","""B""","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17788","1.0","1151","[""PSCI""]","2","""0/999""","[""Charles E. Umbanhowar Sr""]","""0/999""","300","999","""Internship""","394","true","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17789","1.0","1152","[""PSCI""]","1","""0/999""","[""Daniel Hofrenning""]","""0/999""","300","999","""IR/Relig in Politics""","398","false","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17790","1.0","2280","[""PSYCH""]","38","""5/999""","[""McMillan Donna K.""]","""10/999""","200","35","""Sleep and Dreaming""","224","false","","2","""20/999""","""0/999""","""C""","19952","""Research""","1995"
"17791","1.0","1157","[""PSYCH""]","10","""1/999""","[""Howard Thorsheim""]","""1/999""","200","15","""Listening Mind-Body""","225","false","","2","""7/999""","""0/999""","""O""","19952","""Research""","1995"
