"clbid","credits","crsid","departments","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","number","pn","section","semester","status","term","times","title","type","year"
"114484","1.0","259","[""ECON""]","[""HBS""]","","","","[""Bruce Wambheim""]","100","[""RNS 190""]","""Principles of Econ""","121","false","""B""","3","""O""","20173","[""T 0935-1100"", ""Th 0930-1050""]","""Principles of Economics""","""Research""","2017"
"114485","1.0","259","[""ECON""]","[""HBS""]","","","","[""Vladimir Fleurimond""]","100","[""TB 216""]","""Principles of Econ""","121","false","""C""","3","""O""","20173","[""MWF 1255-0150PM""]","""Principles of Economics""","""Research""","2017"
"114486","1.0","259","[""ECON""]","[""HBS""]","","","","[""Rebecca Judge""]","100","[""OM 010"", ""OM 010""]","""Principles of Econ""","121","false","""D""","3","""O""","20173","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Principles of Economics""","""Research""","2017"
"114489","1.0","321","[""EDUC""]","[""ORC""]","","","","[""Staff""]","300","[""TOH 214""]","""Principles of Education, K-12""","330","false","","3","""O""","20173","[""MWF 0905-1000""]","","""Research""","2017"
"114490","1.0","1402","[""STAT""]","[""AQR""]","1402","","","[""Kathryn Ziegler""]","100","[""RNS 150"", ""RNS 150""]","""Principles of Statistics""","110","false","","3","""O""","20173","[""T 1145-0110PM"", ""Th 1245-0205PM""]","","""Research""","2017"
"114491","0.0","22827","[""STAT""]","","1402","","","[""Kathryn Ziegler""]","100","[""RML 115""]","""Principles of Statistics Lab""","110","false","""A""","3","""O""","20173","[""F 0800-0855""]","","""Lab""","2017"
"114492","0.0","22827","[""STAT""]","","1402","","","[""Kathryn Ziegler""]","100","[""RML 115""]","""Principles of Statistics Lab""","110","false","""B""","3","""O""","20173","[""F 0905-1000""]","","""Lab""","2017"
"114493","0.0","22827","[""STAT""]","","1402","","","[""Kathryn Ziegler""]","100","[""RML 115""]","""Principles of Statistics Lab""","110","false","""C""","3","""O""","20173","[""F 1045-1140""]","","""Lab""","2017"
"114494","1.0","1074","[""PHYS""]","[""SED""]","1074","","","[""Prabal Adhikari""]","100","[""RNS 210""]","""Principles Physics II""","125","false","""A""","3","""O""","20173","[""MWF 0800-0855""]","""Principles of Physics II""","""Research""","2017"
"114495","1.0","1074","[""PHYS""]","[""SED""]","1074","","","[""Brian Borovsky""]","100","[""RNS 210""]","""Principles Physics II""","125","false","""B""","3","""O""","20173","[""MWF 1045-1140""]","""Principles of Physics II""","""Research""","2017"
"114496","0.0","1075","[""PHYS""]","","1074","","","[""Amy Larsen""]","100","[""RNS 292""]","""Principles Physics II Lab""","125","false","""E""","3","""O""","20173","[""Th 1245-0315PM""]","","""Lab""","2017"
