"","clbid","credits","crsid","departments","gereqs","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"121",2729,1,824,"['MUSIC']","","['Gerald Hoekstra']",200,"['CHM 239']","History of Jazz",231,"False","False","",2,"C",20012,"['M-F 0100-0300PM']","Research",2001,30
"122",2730,1,826,"['MUSIC']","","['John Robert Hanson']",200,"['CHM 239', 'CHM 239']","Music in Context",233,"False","False","",2,"O",20012,"['M-F 0900-1000', 'M-F 1100-1200PM']","Research",2001,17
"123",2731,1,828,"['MUSIC']","","['John Robert Hanson']",200,"['CHM 232', 'CHM 232']","Music/Chr Worship",235,"False","False","",2,"O",20012,"['MTTh 1040-1240PM', 'MTTh 0130-0300PM']","Research",2001,14
"124",2732,1,847,"['MUSIC']","","['Kathryn Ananda-Owens']",200,"","IS/Contemp Piano Lit",298,"False","False","",2,"O",20012,"","Research",2001,1
"125",2733,1,847,"['MUSIC']","","['David Carter']",200,"","IS/Cello Pedagogy/Lit",298,"False","False","A",2,"O",20012,"","Research",2001,1
"126",2734,1,866,"['MUSIC']","","['Charles Gray']",300,"","IR/Perform/Hist Pract",398,"False","False","",2,"O",20012,"","Research",2001,1
"127",2735,1,866,"['MUSIC']","","['Kathryn Ananda-Owens']",300,"","IR/Piano Lit and Ped",398,"False","False","A",2,"O",20012,"","Research",2001,2
"128",2736,1,866,"['MUSIC']","","['Jo Ann Polley']",300,"","IR/Clarinet Lit & Ped",398,"False","False","B",2,"O",20012,"","Research",2001,1
"129",2737,1,866,"['MUSIC']","","['Paul Ousley']",300,"","IR/Beginning Bass Lit",398,"False","False","C",2,"O",20012,"","Research",2001,1
"130",2738,1,866,"['MUSIC']","","['Kenneth G. Graber']",300,"","IR/Beethoven Sonatas",398,"False","False","D",2,"O",20012,"","Research",2001,1
"131",2739,1,866,"['MUSIC']","","['Paul Niemisto']",300,"","IR/Tuba Pedagogy & Li",398,"False","False","E",2,"O",20012,"","Research",2001,1
"132",2740,1,2013,"['NORW']","","['Orm Overland']",200,"['M 21']","Saloonkeeper's Daghtr",243,"False","False","",2,"O",20012,"['M-F 1040-1240PM']","Research",2001,15
"133",2741,1,939,"['NURS']","","['Mary Kuehn']",100,"['H 403']","Nutrition & Wellness",110,"False","False","A",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,46
"134",2742,1,939,"['NURS']","","['Rebecca A. Benedict']",100,"['H 317']","Nutrition & Wellness",110,"False","False","B",2,"C",20012,"['M-F 0800-1000']","Research",2001,42
"135",2743,1,955,"['NURS']","","['Rita Glazebrook']",300,"","Health Care in Norway",371,"False","False","",2,"C",20012,"","Research",2001,7
"136",2744,1,961,"['NURS']","","['Diana Neal']",300,"","Academic Internship",394,"True","False","",2,"O",20012,"","Research",2001,1
"137",2745,1,965,"['PHIL']","","['Jeanine Grenberg']",100,"['H 302']","Moral Psychology",119,"False","False","",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,29
"138",2746,1,966,"['PHIL']","","['Vicki L. Harper']",100,"['H 301']","Philosophy and Lit",120,"False","False","",2,"C",20012,"['M-F 0100-0300PM']","Research",2001,29
"139",2747,1,977,"['PHIL']","","['Karen Gervais']",200,"['H 413']","Biomedical Ethics",250,"False","False","",2,"C",20012,"['M-F 0800-1000']","Research",2001,28
"140",2748,1,984,"['PHIL']","","['Gordon D. Marino']",200,"['M 21']","Freud/Human Behavior",261,"False","False","",2,"C",20012,"['M-F 0100-0300PM']","Research",2001,31
"141",2749,1,993,"['PHIL']","","['Charles Taliaferro']",300,"","IR/Political Phil",398,"False","False","",2,"O",20012,"","Research",2001,1
"142",2750,1,1056,"['PETH']","","['Gary Wicks']",200,"['SAC 140']","Sport Ethic-Society",290,"False","False","",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,20
"143",2751,1,1057,"['PETH']","","['Daniel Hagen']",200,"","Academic Internship",294,"True","False","",2,"O",20012,"","Research",2001,1
"144",2752,1,1057,"['PETH']","","['Scott Nesbit']",200,"","Academic Internship",294,"True","False","A",2,"O",20012,"","Research",2001,1
"145",2753,1,1057,"['PETH']","","['Gary Wicks']",200,"","Academic Internship",294,"True","False","B",2,"O",20012,"","Research",2001,1
"146",2754,1,1058,"['PETH']","","['Daniel Hagen']",200,"","IS/Nursing and Sports",298,"False","False","",2,"O",20012,"","Research",2001,2
"147",2755,1,1058,"['PETH']","","['William Sean Goldsworthy']",200,"","IS/App Biomechanics",298,"False","False","A",2,"O",20012,"","Research",2001,1
"148",2756,1,1058,"['PETH']","","['Daniel Hagen']",200,"","IS/Fitness Levels",298,"False","False","B",2,"O",20012,"","Research",2001,1
"149",2757,1,1058,"['PETH']","","['Christine Daymont']",200,"","IS/Nutrition in Sport",298,"False","False","C",2,"O",20012,"","Research",2001,1
"150",2758,1,1067,"['PETH']","","['Patrice Buresh']",300,"","Academic Internship",394,"True","False","",2,"O",20012,"","Research",2001,1
"151",2759,1,1086,"['PHYS']","","['Richard Thomas']",200,"['SC 170', 'SC 159']","Musical Acoustics",252,"False","False","",2,"C",20012,"['M-F 0830-1000', 'M-F 0100-0330PM']","Research",2001,32
"152",2760,1,1109,"['PSCI']","","['Kristina Thalhammer']",100,"['H 317']","Politics Human Rights",117,"False","False","",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,26
"153",2761,1,1120,"['PSCI']","","['D Christopher Brooks']",200,"['H 307']","Balkan Politics",250,"False","False","",2,"O",20012,"['M-F 0800-1000']","Research",2001,17
"154",2762,1,1139,"['PSCI']","","['Daniel Hofrenning']",200,"","Academic Internship",294,"True","False","",2,"O",20012,"","Research",2001,1
"155",2763,1,1139,"['PSCI']","","['Charles E. Umbanhowar Sr']",200,"","Academic Internship",294,"True","False","A",2,"O",20012,"","Research",2001,1
"156",2764,1,1141,"['PSCI']","","['Charles E. Umbanhowar Sr']",200,"","IS/Women in the Law",298,"False","False","",2,"O",20012,"","Research",2001,1
"157",2765,1,1157,"['PSYCH']","","['Howard Thorsheim']",200,"['H 319']","Psychophysiology",225,"False","False","",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,15
"158",2766,1,1173,"['PSYCH']","","['McMillan Donna K.']",200,"['H 307']","Environmental Psych",254,"False","False","",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,21
"159",2767,1,1178,"['PSYCH']","","['Scott Woitaszewski']",200,"","Academic Internship",294,"True","False","",2,"O",20012,"","Research",2001,2
"160",2768,1,1186,"['PSYCH']","","['Scott Woitaszewski']",300,"['M 4']","Sem: Resiliency",390,"False","False","",2,"C",20012,"['M-F 1040-1240PM']","Seminar",2001,22
"161",2769,1,1188,"['PSYCH']","","['McMillan Donna K.']",300,"","Academic Internship",394,"True","False","",2,"O",20012,"","Research",2001,1
"162",2770,1,1188,"['PSYCH']","","['Charles Huff']",300,"","Academic Internship",394,"True","False","A",2,"O",20012,"","Research",2001,1
"163",2771,1,1197,"['REL']","","['L. DeAne Lagerquist']",200,"['CH 102']","Intro Feminist Theol",209,"False","False","",2,"C",20012,"['M-F 0100-0300PM']","Research",2001,33
"164",2772,1,1203,"['REL']","","['Philip E. Stoltzfus']",200,"['CH 111']","Pol/Liberation Theol",218,"False","False","",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,33
"165",2773,1,1206,"['REL']","","['Margaret Odell']",200,"['CH 101']","The Biblical God",222,"False","False","",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,34
"166",2774,1,1209,"['REL']","","['Daniel Malotky']",200,"['CH 101']","God & Human Suffering",225,"False","False","",2,"C",20012,"['M-F 0800-1000']","Research",2001,32
"167",2775,1,1211,"['REL']","","['Tatha Wiley']",200,"['CH 101']","Jews & Christians/Aft",227,"False","False","",2,"C",20012,"['M-F 0100-0300PM']","Research",2001,31
"168",2776,1,1219,"['REL']","","['Eric Lund']",200,"","Rel of South Africa",251,"False","False","",2,"C",20012,"","Research",2001,24
"169",2777,1,1223,"['REL']","","['William Poehlmann']",200,"","Religion/Culture/Rome",259,"False","False","",2,"C",20012,"","Research",2001,26
"170",2778,1,1231,"['REL']","","['James Hanson']",200,"","Histor Geograph Bible",275,"False","False","",2,"C",20012,"","Research",2001,19
"171",2779,1,1236,"['REL']","","['Anantanand Rambachan']",200,"","Academic Internship",294,"True","False","",2,"O",20012,"","Research",2001,2
"172",2780,1,1237,"['REL']","","['Anantanand Rambachan']",200,"['CH 102']","Rel Pluralsm/Communit",295,"False","False","",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,28
