"","clbid","credits","crsid","departments","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"123",5761,1,207,"['CHEM']",NA,"['Jeffrey J. Schwinefus']",300,"['SC 374']","Physical Chemistry",371,"False","False","",1,"O",20031,"['MWF 0800-0855']","Research",2003,19
"126",5764,1,214,"['CHEM']",NA,"['Gregory W. Muth']",300,"['SC 280']","Biochemistry I",379,"False","False","",1,"O",20031,"['MWF 1150-1245PM']","Research",2003,42
"127",5765,1,217,"['CHEM']",NA,"['Douglas J. Beussman']",300,"['SC 310']","Instrumental Analysis",382,"False","False","",1,"O",20031,"['MWF 1045-1140']","Research",2003,4
"128",5766,1,223,"['CHEM']",NA,"['Gregory W. Muth']",300,"","IR/Hematology Studies",398,"False","False","",1,"O",20031,"","Research",2003,1
"129",5767,1,223,"['CHEM']",NA,"['Gary Miessler']",300,"","IR/Adv Inorg Synthes",398,"False","False","A",1,"O",20031,"","Research",2003,1
"130",5768,1,229,"['CLASS']",NA,"['Jon Bruss']",200,"['HH 501', 'HH 501']","Greek & Roman Myth-Tr",241,"False","False","",1,"O",20031,"['T 1145-0110PM', 'Th 1245-0205PM']","Research",2003,48
"131",5769,1,236,"['CLASS']",NA,"['Anne Groton']",300,"","IR/Memory in Cl Antiq",398,"False","False","",1,"O",20031,"","Research",2003,1
"132",5770,1,237,"['CHIN']",NA,"['Shannon Cannella']",100,"['OM 001', 'OM 002']","Beginning Chinese I",111,"False","False","A",1,"O",20031,"['MWF 0905-1000', 'T 0800-0925']","Research",2003,8
"133",5771,1,237,"['CHIN']",NA,"['Shannon Cannella']",100,"['OM 001', 'OM 001']","Beginning Chinese I",111,"False","False","B",1,"O",20031,"['MWF 1150-1245PM', 'T 0935-1100']","Research",2003,6
"134",5772,1,237,"['CHIN']",NA,"['Shannon Cannella']",100,"['OM 001', 'OM 001']","Beginning Chinese I",111,"False","False","C",1,"O",20031,"['MWF 0905-1000', 'T 0935-1100']","Research",2003,7
"135",5773,1,237,"['CHIN']",NA,"['Shannon Cannella']",100,"['OM 001', 'OM 002']","Beginning Chinese I",111,"False","False","D",1,"O",20031,"['MWF 1150-1245PM', 'T 0800-0925']","Research",2003,7
"136",5774,1,241,"['CHIN']",NA,"['Pin Pin Wan']",200,"['HH 317', 'OM 011', 'OM 011']","Intermed Chinese I",231,"False","False","",1,"O",20031,"['MWF 1150-1245PM', 'T 1005-1100', 'Th 0955-1050']","Research",2003,19
"137",5775,1,245,"['CHIN']",NA,"['Pin Pin Wan']",200,"['OM 036']","Advanced Chinese I",251,"False","False","",1,"O",20031,"['MWF 0200-0255PM']","Research",2003,5
"138",5776,1,249,"['CHIN']",NA,"['Pin Pin Wan']",200,"","IS/Chinese Newspaper",298,"False","False","",1,"O",20031,"","Research",2003,1
"139",5777,1,259,"['ECON']",NA,"['Daniel B. Kramer']",100,"['HH 301']","Principles of Econ",121,"False","False","B",1,"C",20031,"['MWF 1255-0150PM']","Research",2003,25
"140",5778,1,259,"['ECON']",NA,"['Daniel B. Kramer']",100,"['HH 403']","Principles of Econ",121,"False","False","C",1,"C",20031,"['MWF 0200-0255PM']","Research",2003,25
"141",5779,1,259,"['ECON']",NA,"['Siriwan Chutikamoltham']",100,"['OM 002', 'OM 002']","Principles of Econ",121,"False","False","D",1,"C",20031,"['T 0935-1100', 'Th 0930-1050']","Research",2003,25
"142",5780,1,259,"['ECON']",NA,"['Anthony Becker']",100,"['HH 413', 'HH 413']","Principles of Econ",121,"False","False","E",1,"C",20031,"['T 1145-0110PM', 'Th 1245-0205PM']","Research",2003,29
"143",5781,1,259,"['ECON']",NA,"['Anthony Becker']",100,"['HH 413', 'HH 413']","Principles of Econ",121,"False","False","F",1,"C",20031,"['T 0120-0245PM', 'Th 0215-0335PM']","Research",2003,25
"144",5782,1,259,"['ECON']",NA,"['Xun Pomponio']",100,"['HH 301', 'HH 301']","Principles of Econ",121,"False","False","G",1,"C",20031,"['T 0120-0245PM', 'Th 0215-0335PM']","Research",2003,27
"145",5783,1,264,"['ECON']",NA,"['Edward David Emery']",200,"['HH 317', 'HH 317']","Economic Methods",233,"False","False","",1,"O",20031,"['T 0800-0925', 'Th 0800-0920']","Research",2003,13
"146",5784,1,267,"['ECON']",NA,"['Daniel B. Kramer']",200,"['SC 274']","Environmental Econ",242,"False","False","",1,"O",20031,"['MWF 1150-1245PM']","Research",2003,17
"147",5785,1,270,"['ECON']",NA,"['Edward David Emery']",200,"['OM 004', 'OM 004']","Health Care Econ",245,"False","False","",1,"O",20031,"['T 1145-0110PM', 'Th 1245-0205PM']","Research",2003,17
"148",5786,1,271,"['ECON']",NA,"['Paul Wojick']",200,"['OM 001']","History Econ Thought",247,"False","False","",1,"C",20031,"['MWF 1255-0150PM']","Research",2003,37
"149",5787,1,272,"['ECON']",NA,"['Steve Soderlind']",200,"['HH 301']","Urban Economics",249,"False","False","",1,"C",20031,"['MWF 0800-0855']","Research",2003,26
"150",5788,1,274,"['ECON']",NA,"['Terry J. Fitzgerald']",200,"['HH 413']","Macroeconomic Theory",261,"False","False","A",1,"O",20031,"['MWF 0800-0855']","Research",2003,7
"151",5789,1,274,"['ECON']",NA,"['Terry J. Fitzgerald']",200,"['HH 413']","Macroeconomic Theory",261,"False","False","B",1,"O",20031,"['MWF 0905-1000']","Research",2003,14
"152",5790,1,275,"['ECON']",NA,"['David Schodt']",200,"['SC 188', 'SC 188']","Microeconomic Theory",262,"False","False","A",1,"C",20031,"['T 1145-0110PM', 'Th 1245-0205PM']","Research",2003,17
"153",5791,1,275,"['ECON']",NA,"['David Schodt']",200,"['SC 188', 'SC 188']","Microeconomic Theory",262,"False","False","B",1,"O",20031,"['T 0120-0245PM', 'Th 0215-0335PM']","Research",2003,15
"154",5792,1,276,"['ECON']",NA,"['Paul Wojick']",200,"","Academic Internship",294,"True","False","",1,"O",20031,"","Research",2003,1
"155",5793,1,279,"['ECON']",NA,"['Paul Wojick']",300,"['RML 420']","Money and Banking",374,"False","False","",1,"C",20031,"['MWF 0200-0255PM']","Research",2003,33
"156",5794,1,281,"['ECON']",NA,"['Xun Pomponio']",300,"['HH 302', 'HH 302']","International Econ",382,"False","False","",1,"O",20031,"['T 0935-1100', 'Th 0930-1050']","Research",2003,9
"157",5795,1,282,"['ECON']",NA,"['William L. Carlson']",300,"['TB 216']","Intro to Econometrics",385,"False","False","",1,"O",20031,"['MWF 1045-1140']","Research",2003,13
"158",5796,1,285,"['ECON']",NA,"['Xun Pomponio']",300,"","IR/Adv Growth Theory",398,"False","False","",1,"O",20031,"","Research",2003,1
"159",5797,1,286,"['ECON']",NA,"['Terry J. Fitzgerald']",300,"['HH 514']","Seminar",399,"False","False","",1,"O",20031,"['MWF 1255-0150PM']","Seminar",2003,10
